point_id,x,y,z,avg_error,img_a,img_b,img_a_row,img_a_col,img_b_row,img_b_col,angle_deg
2307,173.84396592436343,-101.87583386872527,-189.28144077994955,1.0858668714255328,2,3,646.5283203125,1120.6695556640625,659.2981567382812,1174.3663330078125,3.6005686785290676
2308,2440.301733614922,-1801.3806211841643,1549.1707803346803,0.47458738871162365,2,3,41.66782760620117,1120.99755859375,31.92886734008789,1228.9462890625,1.3125146026455319
2309,302.103320071035,-202.36558911532896,54.99827236022867,0.05702282276646793,2,3,492.7669982910156,1121.6187744140625,498.6019287109375,1183.3046875,3.3785798488233234
2310,301.79882067175834,-201.2816544882827,86.29427060497424,0.06335000248992682,2,3,476.0039978027344,1122.60546875,481.26031494140625,1184.5374755859375,3.3872152524301153
2311,304.1145157339354,-201.81921426078793,143.44650900723968,0.12680667907458143,2,3,444.90032958984375,1124.2176513671875,448.8294982910156,1186.72998046875,3.3937718792519633
2312,167.73896723136502,-112.19444780733708,327.7133497662662,0.16710614563880793,2,3,342.54229736328125,1124.406982421875,342.6021423339844,1181.967529296875,3.770061827821954
2313,156.18623246291108,-79.81522785625873,-194.2865640210665,0.09762178289303784,2,3,655.1336059570312,1125.173095703125,667.2706909179688,1177.72216796875,3.6497745509185004
2314,303.4287094327121,-198.6577385568565,133.97666190922803,0.10849983250930371,2,3,450.11895751953125,1125.2398681640625,454.5256042480469,1187.645751953125,3.3950549096917
2315,300.4060494877055,-192.82344946364952,59.64279739193902,0.019090868262182308,2,3,490.9803466796875,1125.4468994140625,496.794189453125,1187.0980224609375,3.3879208260765856
2316,299.92696730879646,-187.8316097562478,92.35360255306216,0.1369436890090336,2,3,473.5189514160156,1128.1973876953125,478.88037109375,1190.1075439453125,3.3990673376413545
2317,301.4385424786662,-184.14068660422322,10.355130910741408,0.07906317835862259,2,3,517.898193359375,1128.7135009765625,524.846923828125,1190.009521484375,3.376779782066985
2318,301.9817459974526,-186.06205541658454,55.33910553649698,0.0900773636978546,2,3,493.5814514160156,1128.917236328125,499.64727783203125,1190.6099853515625,3.3869960143718187
2319,302.59656071345387,-190.95902363166624,159.35943590482253,0.007184087638946877,2,3,436.6014099121094,1128.9820556640625,440.4472961425781,1191.5750732421875,3.405010776572133
2320,-658.1546727124866,479.60803942176665,331.61738777411813,0.4085627559727795,2,3,347.1827392578125,1129.321533203125,349.32623291015625,1066.740478515625,10.596907379919688
2321,-658.1546727124866,479.60803942176665,331.61738777411813,0.4085627559727795,2,3,347.1827392578125,1129.321533203125,349.32623291015625,1066.740478515625,10.596907379919688
2322,126.74512405192094,-50.43915860024816,-192.0389668014289,0.15074163458851247,2,3,662.1449584960938,1129.4332275390625,674.5011596679688,1180.3072509765625,3.7353588677814953
2323,284.3634497707586,-173.0830128631407,91.01179017205928,2.3184013335939957,2,3,474.7227783203125,1129.80029296875,482.6881408691406,1191.1712646484375,3.43459572892216
2324,299.20926441577666,-175.02352729393243,-89.8630733803204,0.10500731305586483,2,3,571.8326416015625,1130.1046142578125,580.840576171875,1190.488037109375,3.3522439243605793
2325,299.20926441577666,-175.02352729393243,-89.8630733803204,0.10500731305586483,2,3,571.8326416015625,1130.1046142578125,580.840576171875,1190.488037109375,3.3522439243605793
2326,299.20926441577666,-175.02352729393243,-89.8630733803204,0.10500731305586483,2,3,571.8326416015625,1130.1046142578125,580.840576171875,1190.488037109375,3.3522439243605793
2327,301.3162836743609,-188.44875050750858,183.42900497099868,0.03615906180456664,2,3,423.4010314941406,1130.208984375,426.8005065917969,1192.955322265625,3.41254058400956
